Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,PG,PG,PG,PG,PG,PG,MMM,MMM,MMM,MMM,MMM,MMM
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-09,122.55999755859375,124.28500366210938,122.41999816894531,122.87000274658203,122.87000274658203,20304500,390.3699951171875,397.1099853515625,385.6700134277344,387.70001220703125,387.6158142089844,42722000,145.67999267578125,146.77999877929688,144.72999572753906,146.55999755859375,143.82057189941406,5569500,84.19732666015625,84.94147491455078,82.10702514648438,83.52842712402344,78.96224975585938,5398266
2023-06-12,123.3949966430664,124.75,122.3499984741211,124.3499984741211,124.3499984741211,22255700,392.0,395.29998779296875,386.17999267578125,394.82000732421875,394.7342529296875,38870100,147.0,147.00999450683594,144.5500030517578,145.41000366210938,142.69207763671875,5354000,83.90467834472656,85.65217590332031,83.78762817382812,84.6655502319336,80.03720092773438,4185880
2023-06-13,125.6500015258789,125.86000061035156,123.84500122070312,124.43000030517578,124.43000030517578,19287700,401.8599853515625,411.010009765625,397.3999938964844,410.2200012207031,410.13092041015625,61320800,144.50999450683594,145.67999267578125,144.27999877929688,145.05999755859375,142.34861755371094,5321200,84.6655502319336,86.23745727539062,84.31438446044922,85.90300750732422,81.20701599121094,3926827
2023-06-14,123.80000305175781,124.79000091552734,122.16000366210938,124.37999725341797,124.37999725341797,24659600,408.239990234375,430.0,405.5199890136719,429.9700012207031,429.8766174316406,74046500,145.30999755859375,146.88999938964844,144.8300018310547,146.4199981689453,143.68319702148438,5693300,86.25418090820312,86.68060302734375,84.59030151367188,85.24247741699219,80.58259582519531,3888196
2023-06-15,123.87999725341797,126.16000366210938,123.13999938964844,125.79000091552734,125.79000091552734,24517100,426.0199890136719,432.8900146484375,421.4700012207031,426.5299987792969,426.4373474121094,56862200,147.1699981689453,148.97000122070312,146.5399932861328,148.4499969482422,145.6752471923828,5863000,85.20066833496094,87.03177642822266,84.966552734375,86.79766082763672,82.05276489257812,3375590
2023-06-16,126.69999694824219,126.69999694824219,123.79000091552734,124.05999755859375,124.05999755859375,56686800,434.5,437.2099914550781,426.6099853515625,426.9200134277344,426.8273010253906,65475500,148.9199981689453,150.08999633789062,148.89999389648438,149.5399932861328,146.744873046875,11243900,87.1655502319336,87.70066833496094,86.26254272460938,87.40802764892578,82.6297607421875,7412210
2023-06-20,123.53500366210938,125.17500305175781,122.83000183105469,123.8499984741211,123.8499984741211,22698000,429.9800109863281,439.8999938964844,426.739990234375,438.0799865722656,437.98486328125,45115300,149.75,150.27999877929688,148.11000061035156,148.16000366210938,145.3906707763672,5340700,85.93645477294922,86.06187438964844,84.51505279541016,85.53511810302734,80.85924530029297,3284455
2023-06-21,123.23500061035156,123.41000366210938,120.86000061035156,121.26000213623047,121.26000213623047,22612000,435.010009765625,436.1499938964844,420.79998779296875,430.45001220703125,430.35650634765625,55160300,148.25999450683594,149.60000610351562,147.8699951171875,149.44000244140625,146.64674377441406,4649700,85.00836181640625,85.5267562866211,84.28093719482422,84.84114074707031,80.20320129394531,3011648
2023-06-22,120.66000366210938,123.93499755859375,119.5999984741211,123.87000274658203,123.87000274658203,20781900,422.5299987792969,434.260009765625,422.3399963378906,430.25,430.1565856933594,41773700,150.35000610351562,151.10000610351562,149.47999572753906,149.9499969482422,147.147216796875,6666800,84.69063568115234,84.70735931396484,83.31103515625,83.97157287597656,79.38116455078125,3103500
2023-06-23,122.04000091552734,123.44000244140625,121.86000061035156,123.0199966430664,123.0199966430664,29542900,424.6400146484375,428.0899963378906,420.1499938964844,422.0899963378906,421.9983215332031,35632300,150.25,150.52999877929688,147.9600067138672,148.4600067138672,145.68507385253906,13843300,86.3712387084961,86.53845977783203,83.17726135253906,84.21405029296875,79.61038970947266,9342315
